Identifier,Date*,Submitter,District,Village AtsVillage Phin,Quality,Quantity,Accessibility,Reliability,FS,HH_user_#,Get_Water,RWS type,Extract BH,Extract DW,Extract SW,Distrib?,Distrib how,Distrib Pt #,Photo source,Get water,State extract,User type,In use,Why not,Owner,Resp org.,Funds,Age,Manager,Water payT,Photo Pt 1,Lat,Long,HH # user,Drink prop',Main - why drink,Main - Not drink,Month used,Month water enough,Photo_Pt2,Photo_Pt3,Photo_Pt4,Photo_Pt5
9c3x-kuh2-r5jk,41887,____ ________________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,5,,2,1,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/c45b856c-93b3-492c-bc55-9163916ceaea.jpg,Yes,Not well,___________,Yes,,National association,National institution,National institution,< 5 years,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/f23f1fd7-d67f-4384-905c-d3e0f3aaa56f.jpg,16.86919129,105.3680896,1,Nobody,,,12,0-4,,,,
9x98-g3ef-nt84,41887,___ _______,13 - 13 - Atsaphone,"13-01-007-____ ______-""Kudkaen",2,2,5,,2,1,1,BH,Motor pump,,,Yes,Motor pump,1,https://akvoflow-34.s3.amazonaws.com/images/ec1c44e1-3bfa-4b89-b738-1305321a7002.jpg,Yes,Works well,Wat,Yes,,Community,Community,______________,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/9d1bbf1c-45b9-4a37-a298-79bee8414947.jpg,16.9003405,105.3551773,1,Nobody,,,12,0-4,,,,
a5e9-g3rh-jchf,41887,___ _______,13 - 13 - Atsaphone,"13-01-007-____ ______-""Kudkaen",2,2,2,,2,113,0,DW,,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/97d81c78-0d51-4dd6-9521-1eb95577e236.jpg,No,Works well,Community,Yes,,National association,Community,Community,>20,Community,__________,https://akvoflow-34.s3.amazonaws.com/images/ee3bfbd1-f0f0-463f-9992-cf3c0c0a0022.jpg,16.90139495,105.3549028,113,Many,Good taste,,12,0-4,,,,
b149-bcc1-wnqj,41887,_. _________,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,2,5,,2,3,1,BH,Motor pump,,,Yes,Same pump used for extraction,2,https://akvoflow-34.s3.amazonaws.com/images/07a98fe7-448c-4335-abc8-8a6a9bd59c4c.jpg,Yes,Works well,Community,Yes,,Community,National institution,International NGO,15-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/9b209275-c38a-4f39-a8be-6ea1e5dcbc6d.jpg,16.83860423,105.3368465,2,Nobody,,,12,0-4,https://akvoflow-34.s3.amazonaws.com/images/b196f80e-68a5-4223-b975-7e8c0a15d954.jpg,,,
erwd-vwe6-5d5j,41887,___ _____ ________,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",5,1,4,,1,20,0,BH,No pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/6187b3f4-8c5d-4b79-8cc2-b2f990da1456.jpg,No,Doesn't work,Community,No,Not working,National institution,Community,National institution,15-Oct,Community,Time,https://akvoflow-34.s3.amazonaws.com/images/05665f17-0da7-4548-a376-1a50644ac2c6.jpg,16.86723328,105.339524,20,Nobody,,,12,0-4,,,,
f2k3-drjk-jx10,41887,___ _____ ________,13 - 13 - Atsaphone,"13-01-004-____ ________-""Nondern",2,2,4,,2,5,1,BH,Motor pump,,,Yes,Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/5ac523e0-73e2-41b6-8530-e2f6a8d634a4.jpg,Yes,Works well,Community,Yes,,Private,Community,National association,15-Oct,Private,Fuel / Electricity,https://akvoflow-34.s3.amazonaws.com/images/4b92a488-a01b-4185-be2e-49d18e3056e3.jpg,16.8679663,105.340241,5,Nobody,,,12,0-4,,,,
hdbk-wytf-j1eb,41887,_. _________,13 - 13 - Atsaphone,"13-03-014-____ ___________-""Nakhawmin",2,2,4,,2,2,1,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/e3577917-e404-4855-a974-09e2555365b8.jpg,Yes,Works well,Community,Yes,,Private,National institution,National association,15-Oct,Private,No payment,https://akvoflow-34.s3.amazonaws.com/images/8d0c8929-fbcd-49eb-8bf8-faea269770db.jpg,16.87841981,105.2912803,2,Nobody,,,12,0-4,,,,
hg7q-qrag-sr8h,41887,___ _______,13 - 13 - Atsaphone,"13-XX-001-____ __________-""Hatdokkeo",2,2,4,,2,13,1,DW,,,,Yes,Motor pump,4,https://akvoflow-34.s3.amazonaws.com/images/eb5ab839-ac20-48eb-a644-82670e99bed1.jpg,Yes,Works well,Community|School,Yes,,Community,Community,Community,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/23470f4b-47ab-4cf5-818d-66917883546a.jpg,16.84497065,105.3318731,7,Many,Not hard,,12,0-4,https://akvoflow-34.s3.amazonaws.com/images/af4e8a0a-fa6b-4be6-b17e-2ecfe02eb667.jpg,https://akvoflow-34.s3.amazonaws.com/images/352ca2ae-69dd-4079-860d-33567f2474ce.jpg,https://akvoflow-34.s3.amazonaws.com/images/a885b0df-60c4-4d6e-9df3-bb190bb56735.jpg,
n93g-tk6e-11e,41887,____ ________ ______,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,5,,2,0,1,BH,Motor pump,,,Yes,Motor pump|Same pump used for extraction,1,https://akvoflow-34.s3.amazonaws.com/images/52f6d77d-38bc-4a59-ac8b-4b5bdd2a8451.jpg,Yes,Works well,School,Yes,,National institution,National association,National association,5-Oct,______,No payment,https://akvoflow-34.s3.amazonaws.com/images/1b5853ac-bb8c-4e7e-984d-2d7f70ba13e2.jpg,16.87208211,105.3643179,,Nobody,,,12,0-4,,,,
te45-2kch-pbtf,41887,____ ________________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",5,2,5,,2,1,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/aafb0d0e-7188-49bb-9080-b9cc31de002f.jpg,No,Doesn't work,Wat,No,Not working,Community,International NGO,International NGO,5-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/10616526-5613-4bee-9bd5-cdfbbab0c6c6.jpg,16.87107608,105.3693008,1,Nobody,,,0-4,12,,,,
thbn-qgd6-1g44,41887,_ _________,13 - 13 - Atsaphone,"13-01-006-____ _________-""Nahangnoi",2,2,5,,2,0,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/ba8f1f6a-72e1-4b57-b961-50a1209c7207.jpg,No,Works well,School,Yes,,National institution,National association,National association,5-Oct,______,No payment,https://akvoflow-34.s3.amazonaws.com/images/20dc042c-383e-4333-bdc8-a239cd559118.jpg,16.87328865,105.3641577,,Nobody,,,12,0-4,,,,
x7yy-ww1p-bvnt,41887,___ _______,13 - 13 - Atsaphone,"13-01-007-____ ______-""Kudkaen",2,2,4,,2,2,0,BH,Handpump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/9f9fc1ab-a6c4-4a2f-a4e9-1ee15efcd5f2.jpg,No,Works well,Community,Yes,,National association,National association,National association,15-Oct,Community,No payment,https://akvoflow-34.s3.amazonaws.com/images/fcb3116c-ef6e-48a3-9daf-4f18b72d11f4.jpg,16.90526692,105.3561287,2,Nobody,,,12,0-4,,,,
2cg7-0rnu-c322,41888,_._______ _______,13 - 13 - Atsaphone,"13-03-013-____ _______-""Naduea",2,2,4,,2,18,1,BH,Motor pump,,,No,,,https://akvoflow-34.s3.amazonaws.com/images/d36115c7-145b-47f3-863a-6d6748a7de71.jpg,Yes,Works well,School,Yes,,______,International NGO,International NGO,5-Oct,______,Time,https://akvoflow-34.s3.amazonaws.com/images/6bfac2a2-153c-4b76-849d-c4434da90f96.jpg,16.86260244,105.3032065,18,Nobody,,,12,0-4,,,,
